Result,Player,Book Odds,predicted_prob,Odds,New xOdds (w/limits),Difference,New Ex%,Book Decimal Odds,Bet Standard,Profit Standard,BankRoll Standard,Bet Kelly,Profit Kelly,Bankroll Kelly,Bets,Bet Odds,Edge,Week,,,,,,,,,,
Pending,,,,,,,,,,,"$1,677.26",,,"$2,106",,,,,,,,,,,,,,
Pending,,,,,,,,,,,"$1,677.26",,,"$2,106",,,,,,,,,,,,,,
Pending,,,,,,,,,,,"$1,677.26",,,"$2,106",,,,,,,,,,,,,,
Pending,,,,,,,,,,,"$1,677.26",,,"$2,106",,,,,,,,,,,,,,
Pending,,,,,,,,,,,"$1,677.26",,,"$2,106",,,,,,,,,,,,,,
Pending,,,,,,,,,,,"$1,677.26",,,"$2,106",,,,,,,,,,,,,,
Pending,,,,,,,,,,,"$1,677.26",,,"$2,106",,,,,,,,,,,,,,
Pending,,,,,,,,,,,"$1,677.26",,,"$2,106",,,,,,,,,,,,,,
Pending,,,,,,,,,,,"$1,677.26",,,"$2,106",,,,,,,,,,,,,,
Pending,,,,,,,,,,,"$1,677.26",,,"$2,106",,,,,,,,,,,,,,
Pending,,,,,,,,,,,"$1,677.26",,,"$2,106",,,,,,,,,,,,,,
Pending,,,,,,,,,,,"$1,677.26",,,"$2,106",,,,,,,,,,,,,,
Pending,,,,,,,,,,,"$1,677.26",,,"$2,106",,,,,,,,,,,,,,
Pending,,,,,,,,,,,"$1,677.26",,,"$2,106",,,,,,,,,,,,,,
Pending,,,,,,,,,,,"$1,677.26",,,"$2,106",,,,,,,,,,,,,,
Pending,,,,,,,,,,,"$1,677.26",,,"$2,106",,,,,,,,,,,,,,
Pending,,,,,,,,,,,"$1,677.26",,,"$2,106",,,,,,,,,,,,,,
Pending,,,,,,,,,,,"$1,677.26",,,"$2,106",,,,,,,,,,,,,,
Pending,,,,,,,,,,,"$1,677.26",,,"$2,106",,,,,,,,,,,,,,
Pending,,,,,,,,,,,"$1,677.26",,,"$2,106",,,,,,,,,,,,,,
Pending,,,,,,,,,,,"$1,677.26",,,"$2,106",,,,,,,,,,,,,,
Pending,,,,,,,,,,,"$1,677.26",,,"$2,106",,,,,,,,,,,,,,
Pending,,,,,,,,,,,"$1,677.26",,,"$2,106",,,,,,,,,,,,,,
Pending,,,,,,,,,,,"$1,677.26",,,"$2,106",,,,,,,,,,,,,,
Pending,,,,,,,,,,,"$1,677.26",,,"$2,106",,,,,,,,,,,,,,
Pending,,,,,,,,,,,"$1,677.26",,,"$2,106",,,,,,,,,,,,,,
Pending,,,,,,,,,,,"$1,677.26",,,"$2,106",,,,,,,,,,,,,,
Pending,,,,,,,,,,,"$1,677.26",,,"$2,106",,,,,,,,,,,,,,
Pending,,,,,,,,,,,"$1,677.26",,,"$2,106",,,,,,,,,,,,,,
Pending,,,,,,,,,,,"$1,677.26",,,"$2,106",,,,,,,,,,,,,,
Pending,,,,,,,,,,,"$1,677.26",,,"$2,106",,,,,,,,,,,,,,
Pending,,,,,,,,,,,"$1,677.26",,,"$2,106",,,,,,,,,,,,,,
Pending,,,,,,,,,,,"$1,677.26",,,"$2,106",,,,,,,,,,,,,,
Pending,,,,,,,,,,,"$1,677.26",,,"$2,106",,,,,,,,,,,,,,
Pending,,,,,,,,,,,"$1,677.26",,,"$2,106",,,,,,,,,,,,,,
Pending,,,,,,,,,,,"$1,677.26",,,"$2,106",,,,,,,,,,,,,,
Pending,,,,,,,,,,,"$1,677.26",,,"$2,106",,,,,,,,,,,,,,
Pending,,,,,,,,,,,"$1,677.26",,,"$2,106",,,,,,,,,,,,,,
Pending,,,,,,,,,,,"$1,677.26",,,"$2,106",,,,,,,,,,,,,,
Pending,,,,,,,,,,,"$1,677.26",,,"$2,106",,,,,,,,,,,,,,
Pending,,,,,,,,,,,"$1,677.26",,,"$2,106",,,,,,,,,,,,,,
Pending,,,,,,,,,,,"$1,677.26",,,"$2,106",,,,,,,,,,,,,,
Pending,,,,,,,,,,,"$1,677.26",,,"$2,106",,,,,,,,,,,,,,
Pending,,,,,,,,,,,"$1,677.26",,,"$2,106",,,,,,,,,,,,,,
Pending,,,,,,,,,,,"$1,677.26",,,"$2,106",,,,,,,,,,,,,,
Pending,,,,,,,,,,,"$1,677.26",,,"$2,106",,,,,,,,,,,,,,
Pending,,,,,,,,,,,"$1,677.26",,,"$2,106",,,,,,,,,,,,,,
Pending,,,,,,,,,,,"$1,677.26",,,"$2,106",,,,,,,,,,,,,,
Pending,,,,,,,,,,,"$1,677.26",,,"$2,106",,,,,,,,,,,,,,
Pending,,,,,,,,,,,"$1,677.26",,,"$2,106",,,,,,,,,,,,,,
Pending,,,,,,,,,,,"$1,677.26",,,"$2,106",,,,,,,,,,,,,,
Pending,,,,,,,,,,,"$1,677.26",,,"$2,106",,,,,,,,,,,,,,
Pending,,,,,,,,,,,"$1,677.26",,,"$2,106",,,,,,,,,,,,,,
Pending,,,,,,,,,,,"$1,677.26",,,"$2,106",,,,,,,,,,,,,,
Pending,,,,,,,,,,,"$1,677.26",,,"$2,106",,,,,,,,,,,,,,
Pending,,,,,,,,,,,"$1,677.26",,,"$2,106",,,,,,,,,,,,,,
Pending,,,,,,,,,,,"$1,677.26",,,"$2,106",,,,,,,,,,,,,,
Pending,,,,,,,,,,,"$1,677.26",,,"$2,106",,,,,,,,,,,,,,
Pending,,,,,,,,,,,"$1,677.26",,,"$2,106",,,,,,,,,,,,,,
Pending,,,,,,,,,,,"$1,677.26",,,"$2,106",,,,,,,,,,,,,,
Pending,,,,,,,,,,,"$1,677.26",,,"$2,106",,,,,,,,,,,,,,
Pending,,,,,,,,,,,"$1,677.26",,,"$2,106",,,,,,,,,,,,,,
Pending,,,,,,,,,,,"$1,677.26",,,"$2,106",,,,,,,,,,,,,,
Pending,,,,,,,,,,,"$1,677.26",,,"$2,106",,,,,,,,,,,,,,
Pending,,,,,,,,,,,"$1,677.26",,,"$2,106",,,,,,,,,,,,,,
Pending,,,,,,,,,,,"$1,677.26",,,"$2,106",,,,,,,,,,,,,,
Pending,,,,,,,,,,,"$1,677.26",,,"$2,106",,,,,,,,,,,,,,
Pending,,,,,,,,,,,"$1,677.26",,,"$2,106",,,,,,,,,,,,,,
Pending,,,,,,,,,,,"$1,677.26",,,"$2,106",,,,,,,,,,,,,,
Pending,,,,,,,,,,,"$1,677.26",,,"$2,106",,,,,,,,,,,,,,
Pending,,,,,,,,,,,"$1,677.26",,,"$2,106",,,,,,,,,,,,,,
Pending,,,,,,,,,,,"$1,677.26",,,"$2,106",,,,,,,,,,,,,,
Pending,,,,,,,,,,,"$1,677.26",,,"$2,106",,,,,,,,,,,,,,
Pending,,,,,,,,,,,"$1,677.26",,,"$2,106",,,,,,,,,,,,,,
Pending,,,,,,,,,,,"$1,677.26",,,"$2,106",,,,,,,,,,,,,,
Pending,,,,,,,,,,,"$1,677.26",,,"$2,106",,,,,,,,,,,,,,
Pending,,,,,,,,,,,"$1,677.26",,,"$2,106",,,,,,,,,,,,,,
Pending,,,,,,,,,,,"$1,677.26",,,"$2,106",,,,,,,,,,,,,,
Pending,,,,,,,,,,,"$1,677.26",,,"$2,106",,,,,,,,,,,,,,
Pending,,,,,,,,,,,"$1,677.26",,,"$2,106",,,,,,,,,,,,,,
Pending,,,,,,,,,,,"$1,677.26",,,"$2,106",,,,,,,,,,,,,,
Pending,,,,,,,,,,,"$1,677.26",,,"$2,106",,,,,,,,,,,,,,
Pending,,,,,,,,,,,"$1,677.26",,,"$2,106",,,,,,,,,,,,,,
Pending,,,,,,,,,,,"$1,677.26",,,"$2,106",,,,,,,,,,,,,,
Pending,,,,,,,,,,,"$1,677.26",,,"$2,106",,,,,,,,,,,,,,
Pending,,,,,,,,,,,"$1,677.26",,,"$2,106",,,,,,,,,,,,,,
Pending,,,,,,,,,,,"$1,677.26",,,"$2,106",,,,,,,,,,,,,,
Pending,,,,,,,,,,,"$1,677.26",,,"$2,106",,,,,,,,,,,,,,
Pending,,,,,,,,,,,"$1,677.26",,,"$2,106",,,,,,,,,,,,,,
Pending,,,,,,,,,,,"$1,677.26",,,"$2,106",,,,,,,,,,,,,,
Pending,,,,,,,,,,,"$1,677.26",,,"$2,106",,,,,,,,,,,,,,
Pending,,,,,,,,,,,"$1,677.26",,,"$2,106",,,,,,,,,,,,,,
Pending,,,,,,,,,,,"$1,677.26",,,"$2,106",,,,,,,,,,,,,,
Pending,,,,,,,,,,,"$1,677.26",,,"$2,106",,,,,,,,,,,,,,
Pending,,,,,,,,,,,"$1,677.26",,,"$2,106",,,,,,,,,,,,,,
Pending,,,,,,,,,,,"$1,677.26",,,"$2,106",,,,,,,,,,,,,,
Pending,,,,,,,,,,,"$1,677.26",,,"$2,106",,,,,,,,,,,,,,
Pending,,,,,,,,,,,"$1,677.26",,,"$2,106",,,,,,,,,,,,,,
Pending,,,,,,,,,,,"$1,677.26",,,"$2,106",,,,,,,,,,,,,,
Pending,,,,,,,,,,,"$1,677.26",,,"$2,106",,,,,,,,,,,,,,
Pending,,,,,,,,,,,"$1,677.26",,,"$2,106",,,,,,,,,,,,,,
Pending,,,,,,,,,,,"$1,677.26",,,"$2,106",,,,,,,,,,,,,,
Pending,,,,,,,,,,,"$1,677.26",,,"$2,106",,,,,,,,,,,,,,
Pending,,,,,,,,,,,"$1,677.26",,,"$2,106",,,,,,,,,,,,,,
Pending,,,,,,,,,,,"$1,677.26",,,"$2,106",,,,,,,,,,,,,,
Pending,,,,,,,,,,,"$1,677.26",,,"$2,106",,,,,,,,,,,,,,
Pending,,,,,,,,,,,"$1,677.26",,,"$2,106",,,,,,,,,,,,,,
Pending,,,,,,,,,,,"$1,677.26",,,"$2,106",,,,,,,,,,,,,,
Pending,,,,,,,,,,,"$1,677.26",,,"$2,106",,,,,,,,,,,,,,
Pending,,,,,,,,,,,"$1,677.26",,,"$2,106",,,,,,,,,,,,,,
Pending,,,,,,,,,,,"$1,677.26",,,"$2,106",,,,,,,,,,,,,,
Pending,,,,,,,,,,,"$1,677.26",,,"$2,106",,,,,,,,,,,,,,
Pending,,,,,,,,,,,"$1,677.26",,,"$2,106",,,,,,,,,,,,,,
Pending,,,,,,,,,,,"$1,677.26",,,"$2,106",,,,,,,,,,,,,,
Pending,,,,,,,,,,,"$1,677.26",,,"$2,106",,,,,,,,,,,,,,
Pending,,,,,,,,,,,"$1,677.26",,,"$2,106",,,,,,,,,,,,,,
Pending,,,,,,,,,,,"$1,677.26",,,"$2,106",,,,,,,,,,,,,,
Pending,,,,,,,,,,,"$1,677.26",,,"$2,106",,,,,,,,,,,,,,
Pending,,,,,,,,,,,"$1,677.26",,,"$2,106",,,,,,,,,,,,,,
Pending,,,,,,,,,,,"$1,677.26",,,"$2,106",,,,,,,,,,,,,,
Pending,,,,,,,,,,,"$1,677.26",,,"$2,106",,,,,,,,,,,,,,
Pending,,,,,,,,,,,"$1,677.26",,,"$2,106",,,,,,,,,,,,,,
Pending,,,,,,,,,,,"$1,677.26",,,"$2,106",,,,,,,,,,,,,,
Pending,,,,,,,,,,,"$1,677.26",,,"$2,106",,,,,,,,,,,,,,
Pending,,,,,,,,,,,"$1,677.26",,,"$2,106",,,,,,,,,,,,,,
Pending,,,,,,,,,,,"$1,677.26",,,"$2,106",,,,,,,,,,,,,,
Pending,,,,,,,,,,,"$1,677.26",,,"$2,106",,,,,,,,,,,,,,
Pending,,,,,,,,,,,"$1,677.26",,,"$2,106",,,,,,,,,,,,,,
Pending,,,,,,,,,,,"$1,677.26",,,"$2,106",,,,,,,,,,,,,,
Pending,,,,,,,,,,,"$1,677.26",,,"$2,106",,,,,,,,,,,,,,
Pending,,,,,,,,,,,"$1,677.26",,,"$2,106",,,,,,,,,,,,,,
Pending,,,,,,,,,,,"$1,677.26",,,"$2,106",,,,,,,,,,,,,,
Pending,,,,,,,,,,,"$1,677.26",,,"$2,106",,,,,,,,,,,,,,
Pending,,,,,,,,,,,"$1,677.26",,,"$2,106",,,,,,,,,,,,,,
Pending,,,,,,,,,,,"$1,677.26",,,"$2,106",,,,,,,,,,,,,,
Pending,,,,,,,,,,,"$1,677.26",,,"$2,106",,,,,,,,,,,,,,
Pending,,,,,,,,,,,"$1,677.26",,,"$2,106",,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
