Result,Player,Book Odds,predicted_prob,Odds,New Odds (w/limits),Difference,New Ex%,Book Decimal Odds,Bet Standard,Profit Standard,BankRoll Standard,Bet Kelly,Profit Kelly,Bankroll Kelly,Bets,Bet Odds,Edge,Week,,,This Week,14,,,,,,
Miss,Terry McLaurin,110,65.5%,-189,-150,-260,60%,2.10,$40,-$40.00,"$2,606.37",$59,-$59.09,"$1,570",Terry McLaurin,110,12.4%,,,10.6%,DeVonta Smith,,,,,,,
Hit,Jalen Tolbert,500,24.1%,315,315,-185,24%,6.00,$40,$200.00,"$2,806.37",$22,$111.43,"$1,682",Jalen Tolbert,500,7.4%,,,10.0%,Justin Jefferson,,,,,,,
Void,Allen Lazard,360,26.0%,285,285,-75,26%,4.60,$0,$0.00,"$2,806.37",,,"$1,682",Allen Lazard,360,4.2%,,,9.8%,Malik Nabers,,,,,,,
Miss,DeAndre Hopkins,260,28.1%,256,256,-4,28%,3.60,$40,-$40.00,"$2,766.37",$1,-$1.08,"$1,680",DeAndre Hopkins,260,0.3%,,,8.6%,Andrei Iosivas,,,,,,,
Miss,Cooper Kupp,130,51.3%,-105,-105,-235,51%,2.30,$40,-$40.00,"$2,726.37",$35,-$34.59,"$1,646",Cooper Kupp,130,7.8%,,,8.1%,Keenan Allen,,,,,,,
Hit,Malik Nabers,175,46.2%,117,117,-58,46%,2.75,$40,$70.00,"$2,796.37",$39,$67.40,"$1,713",Malik Nabers,175,9.8%,,,7.8%,Cooper Kupp,,,,,,,
Miss,Demarcus Robinson,330,27.4%,265,265,-65,27%,4.30,$40,-$40.00,"$2,756.37",$13,-$13.38,"$1,700",Demarcus Robinson,330,4.1%,,,7.5%,Foster Moreau,,,,,,,
Hit,A.J. Brown,130,64.4%,-181,-150,-280,60%,2.30,$40,$52.00,"$2,808.37",$73,$95.00,"$1,795",A.J. Brown,130,16.5%,,,7.4%,Jalen Tolbert,,,,,,,
Hit,DeVonta Smith,180,46.3%,116,116,-64,46%,2.80,$40,$72.00,"$2,880.37",$41,$74.05,"$1,869",DeVonta Smith,180,10.6%,,,5.7%,Wan'Dale Robinson,,,,,,,
Miss,Nick Westbrook-Ikhine,295,26.5%,278,278,-17,26%,3.95,$40,-$40.00,"$2,840.37",$4,-$3.82,"$1,865",Nick Westbrook-Ikhine,295,1.1%,,,4.7%,Cole Kmet,,,,,,,
Miss,Andrei Iosivas,330,31.8%,214,214,-116,32%,4.30,$40,-$40.00,"$2,800.37",$28,-$27.89,"$1,837",Andrei Iosivas,330,8.6%,,,4.2%,Allen Lazard,,,,,,,
Miss,Van Jefferson,550,17.2%,480,480,-70,17%,6.50,$40,-$40.00,"$2,760.37",$5,-$5.50,"$1,832",Van Jefferson,550,1.9%,,,4.1%,Demarcus Robinson,,,,,,,
Miss,Cole Kmet,320,28.5%,250,250,-70,29%,4.20,$40,-$40.00,"$2,720.37",$16,-$15.53,"$1,816",Cole Kmet,320,4.7%,,,3.1%,Drake London,,,,,,,
Hit,Foster Moreau,750,19.3%,418,418,-332,19%,8.50,$40,$300.00,"$3,020.37",$21,$160.27,"$1,976",Foster Moreau,750,7.5%,,,1.9%,Van Jefferson,,,,,,,
Miss,Noah Gray,370,22.0%,354,354,-16,22%,4.70,$40,-$40.00,"$2,980.37",$2,-$2.35,"$1,974",Noah Gray,370,0.7%,,,1.1%,Nick Westbrook-Ikhine,,,,,,,
Hit,Ladd McConkey,120,61.4%,-159,-150,-270,60%,2.20,$40,$48.00,"$3,028.37",$67,$80.00,"$2,054",Ladd McConkey,120,14.5%,,,0.7%,Noah Gray,,,,,,,
Miss,Blake Whiteheart,1300,7.2%,1286,1286,-14,7%,14.00,$40,-$40.00,"$2,988.37",$0,-$0.19,"$2,054",Blake Whiteheart,1300,0.1%,,,0.3%,DeAndre Hopkins,,,,,,,
Hit,Amon-Ra St. Brown,110,87.6%,-706,-150,-260,60%,2.10,$40,$44.00,"$3,032.37",$59,$65.00,"$2,119",Amon-Ra St. Brown,110,12.4%,,,0.1%,Blake Whiteheart,,,,,,,
Miss,George Kittle,140,80.8%,-420,-150,-290,60%,2.40,$40,-$40.00,"$2,992.37",$79,-$78.57,"$2,040",George Kittle,140,18.3%,,,0.0%,Ja'Marr Chase,,,,,,,
Miss,Jauan Jennings,195,41.0%,144,144,-51,41%,2.95,$40,-$40.00,"$2,952.37",$27,-$26.80,"$2,014",Jauan Jennings,195,7.1%,,,,,,,,,,,
Miss,Brock Wright,900,10.6%,845,845,-55,11%,10.00,$40,-$40.00,"$2,912.37",$2,-$1.62,"$2,012",Brock Wright,900,0.6%,,,,,,,,,,,
Hit,Ja'Marr Chase,-140,81.6%,-444,-150,-10,60%,1.71,$40,$28.57,"$2,940.94",$10,$7.14,"$2,019",Ja'Marr Chase,-140,1.7%,,,,,,,,,,,
Miss,Tee Higgins,185,78.7%,-369,-150,-335,60%,2.85,$40,-$40.00,"$2,900.94",$96,-$95.95,"$1,923",Tee Higgins,185,24.9%,,,,,,,,,,,
Miss,Garrett Wilson,205,56.5%,-130,-130,-335,56%,3.05,$40,-$40.00,"$2,860.94",$88,-$88.20,"$1,835",Garrett Wilson,205,23.7%,,,,,,,,,,,
Hit,Davante Adams,145,81.7%,-448,-150,-295,60%,2.45,$40,$58.00,"$2,918.94",$81,$117.50,"$1,952",Davante Adams,145,19.2%,,,,,,,,,,,
Hit,D.J. Moore,290,42.4%,136,136,-154,42%,3.90,$40,$116.00,"$3,034.94",$56,$163.55,"$2,116",D.J. Moore,290,16.8%,,,,,,,,,,,
Void,George Kittle,145,80.5%,-413,-150,-295,60%,2.45,$0,$0.00,"$3,034.94",,,"$2,116",George Kittle,145,19.2%,,,,,,,,,,,
Miss,Tyreek Hill,160,45.1%,122,122,-38,45%,2.60,$40,-$40.00,"$2,994.94",$27,-$27.15,"$2,089",Tyreek Hill,160,6.7%,,,,,,,,,,,
Void,Xavier Worthy,500,27.0%,270,270,-230,27%,6.00,$0,$0.00,"$2,994.94",,,"$2,089",Xavier Worthy,500,10.4%,,,,,,,,,,,
Miss,Wan'Dale Robinson,390,33.4%,200,200,-190,33%,4.90,$40,-$40.00,"$2,954.94",$41,-$40.71,"$2,048",Wan'Dale Robinson,390,13.0%,,,,,,,,,,,
Miss,Keenan Allen,275,37.4%,168,168,-107,37%,3.75,$40,-$40.00,"$2,914.94",$36,-$36.50,"$2,012",Keenan Allen,275,10.7%,,,,,,,,,,,
Hit,Jonnu Smith,200,53.7%,-116,-116,-316,54%,3.00,$40,$80.00,"$2,994.94",$77,$153.01,"$2,165",Jonnu Smith,200,20.4%,,,,,,,,,,,
Miss,Mike Evans,-170,68.4%,-217,-150,20,60%,1.59,$40,-$40.00,"$2,954.94",$0,$0.00,"$2,165",Mike Evans,-170,-3.0%,,,,,,,,,,,
Miss,Isaiah Likely,295,28.3%,253,253,-42,28%,3.95,$40,-$40.00,"$2,914.94",$10,-$10.04,"$2,155",Isaiah Likely,295,3.0%,,,,,,,,,,,
Hit,Terry McLaurin,100,62.6%,-167,-150,-250,60%,2.00,$40,$40.00,"$2,954.94",$50,$50.00,"$2,205",Terry McLaurin,100,10.0%,,,,,,,,,,,
Miss,Jalen Tolbert,330,28.1%,256,256,-74,28%,4.30,$40,-$40.00,"$2,914.94",$16,-$15.84,"$2,189",Jalen Tolbert,330,4.9%,,,,,,,,,,,
Void,Nico Collins,185,70.0%,-234,-150,-335,60%,2.85,$0,$0.00,"$2,914.94",,,"$2,189",Nico Collins,185,24.9%,,,,,,,,,,,
Hit,Pat Freiermuth,310,24.9%,301,301,-9,25%,4.10,$40,$124.00,"$3,038.94",$2,$5.59,"$2,194",Pat Freiermuth,310,0.5%,,,,,,,,,,,
Void,DeAndre Hopkins,340,43.9%,128,128,-212,44%,4.40,$0,$0.00,"$3,038.94",,,"$2,194",DeAndre Hopkins,340,21.2%,,,,,,,,,,,
Void,Jerry Jeudy,285,30.0%,233,233,-52,30%,3.85,$0,$0.00,"$3,038.94",,,"$2,194",Jerry Jeudy,285,4.0%,,,,,,,,,,,
Hit,Malik Nabers,185,50.9%,-104,-104,-289,51%,2.85,$40,$74.00,"$3,112.94",$61,$112.98,"$2,307",Malik Nabers,185,15.9%,,,,,,,,,,,
Miss,Demarcus Robinson,400,25.5%,292,292,-108,26%,5.00,$40,-$40.00,"$3,072.94",$17,-$17.25,"$2,290",Demarcus Robinson,400,5.5%,,,,,,,,,,,
Miss,Andrei Iosivas,290,32.3%,210,210,-80,32%,3.90,$40,-$40.00,"$3,032.94",$22,-$22.23,"$2,268",Andrei Iosivas,290,6.6%,,,,,,,,,,,
Void,Noah Gray,400,20.9%,377,377,-23,21%,5.00,$0,$0.00,"$3,032.94",,,"$2,268",Noah Gray,400,0.9%,,,,,,,,,,,
Miss,Cole Kmet,425,26.9%,272,272,-153,27%,5.25,$40,-$40.00,"$2,992.94",$24,-$24.26,"$2,244",Cole Kmet,425,7.9%,,,,,,,,,,,
Miss,Foster Moreau,550,19.4%,415,415,-135,19%,6.50,$40,-$40.00,"$2,952.94",$12,-$11.91,"$2,232",Foster Moreau,550,4.0%,,,,,,,,,,,
Hit,Alec Pierce,295,29.7%,237,237,-58,30%,3.95,$40,$118.00,"$3,070.94",$15,$42.84,"$2,275",Alec Pierce,295,4.3%,,,,,,,,,,,
Miss,Tanner Hudson,1000,13.0%,668,668,-332,13%,11.00,$40,-$40.00,"$3,030.94",$11,-$10.80,"$2,264",Tanner Hudson,1000,3.9%,,,,,,,,,,,
Miss,Brian Thomas,125,56.0%,-127,-127,-252,56%,2.25,$40,-$40.00,"$2,990.94",$52,-$51.76,"$2,212",Brian Thomas,125,11.5%,,,,,,,,,,,
Hit,Courtland Sutton,125,47.0%,113,113,-12,47%,2.25,$40,$50.00,"$3,040.94",$11,$14.08,"$2,226",Courtland Sutton,125,2.5%,,,,,,,,,,,
Miss,Ladd McConkey,120,69.0%,-224,-150,-270,60%,2.20,$40,-$40.00,"$3,000.94",$67,-$66.67,"$2,159",Ladd McConkey,120,14.5%,,,,,,,,,,,
Hit,Trey McBride,120,46.0%,119,119,-1,46%,2.20,$40,$48.00,"$3,048.94",$1,$1.14,"$2,161",Trey McBride,120,0.2%,,,,,,,,,,,
Hit,Brock Bowers,210,35.0%,186,186,-24,35%,3.10,$40,$84.00,"$3,132.94",$10,$20.98,"$2,182",Brock Bowers,210,2.7%,,,,,,,,,,,
Hit,Jakobi Meyers,220,32.0%,211,211,-9,32%,3.20,$40,$88.00,"$3,220.94",$3,$7.23,"$2,189",Jakobi Meyers,220,0.9%,,,,,,,,,,,
Miss,Sam Laporta,170,37.0%,167,167,-3,37%,2.70,$40,-$40.00,"$3,180.94",$2,-$1.65,"$2,187",Sam Laporta,170,0.4%,,,,,,,,,,,
Miss,Jordan Addison,125,75.0%,-296,-150,-275,60%,2.25,$40,-$40.00,"$3,140.94",$70,-$70.00,"$2,117",Jordan Addison,125,15.6%,,,,,,,,,,,
Miss,Justin Jefferson,-130,68.0%,-211,-150,-20,60%,1.77,$40,-$40.00,"$3,100.94",$20,-$20.00,"$2,097",Justin Jefferson,-130,3.5%,,,,,,,,,,,
Miss,Amon-Ra St. Brown,-110,89.0%,-848,-150,-40,60%,1.91,$40,-$40.00,"$3,060.94",$40,-$40.00,"$2,057",Amon-Ra St. Brown,-110,7.6%,,,,,,,,,,,
Miss,Justin Jefferson,-110,66.0%,-194,-150,-40,60%,1.91,$40,-$40.00,"$3,020.94",$40,-$40.00,"$2,017",Justin Jefferson,-110,7.6%,,,,,,,,,,,
Miss,Zach Ertz,255,33.5%,198,198,-57,34%,3.55,$40,-$40.00,"$2,980.94",$19,-$18.61,"$1,998",Zach Ertz,255,5.3%,,,,,,,,,,,
Miss,Courtland Sutton,155,52.6%,-111,-111,-266,53%,2.55,$40,-$40.00,"$2,940.94",$55,-$54.97,"$1,944",Courtland Sutton,155,13.4%,,,,,,,,,,,
Miss,Jordan Addison,140,66.6%,-200,-150,-290,60%,2.40,$40,-$40.00,"$2,900.94",$79,-$78.57,"$1,865",Jordan Addison,140,18.3%,,,,,,,,,,,
Hit,Mike Evans,105,66.6%,-200,-150,-255,60%,2.05,$40,$42.00,"$2,942.94",$55,$57.50,"$1,922",Mike Evans,105,11.2%,,,,,,,,,,,
Hit,Terry McLaurin,115,66.2%,-196,-150,-265,60%,2.15,$40,$46.00,"$2,988.94",$63,$72.50,"$1,995",Terry McLaurin,115,13.5%,,,,,,,,,,,
Void,Cade Otton,290,31.2%,220,220,-70,31%,3.90,$0,$0.00,"$2,988.94",,,"$1,995",Cade Otton,290,5.6%,,,,,,,,,,,
Hit,Nico Collins,140,73.5%,-278,-150,-290,60%,2.40,$40,$56.00,"$3,044.94",$79,$110.00,"$2,105",Nico Collins,140,18.3%,,,,,,,,,,,
Miss,Demarcus Robinson,360,24.6%,306,306,-54,25%,4.60,$40,-$40.00,"$3,004.94",$9,-$9.21,"$2,096",Demarcus Robinson,360,2.9%,,,,,,,,,,,
Miss,DeVonta Smith,160,49.7%,101,101,-59,50%,2.60,$40,-$40.00,"$2,964.94",$46,-$45.61,"$2,050",DeVonta Smith,160,11.2%,,,,,,,,,,,
Miss,Cooper Kupp,145,48.5%,106,106,-39,49%,2.45,$40,-$40.00,"$2,924.94",$32,-$32.49,"$2,018",Cooper Kupp,145,7.7%,,,,,,,,,,,
Miss,A.J. Brown,120,64.6%,-183,-150,-270,60%,2.20,$40,-$40.00,"$2,884.94",$67,-$66.67,"$1,951",A.J. Brown,120,14.5%,,,,,,,,,,,
Hit,Ladd McConkey,145,69.0%,-223,-150,-295,60%,2.45,$40,$58.00,"$2,942.94",$81,$117.50,"$2,068",Ladd McConkey,145,19.2%,,,,,,,,,,,
Miss,Jalen Nailor,500,18.3%,446,446,-54,18%,6.00,$40,-$40.00,"$2,902.94",$5,-$4.95,"$2,064",Jalen Nailor,500,1.6%,,,,,,,,,,,
Miss,Devaughn Vele,475,24.1%,315,315,-160,24%,5.75,$40,-$40.00,"$2,862.94",$20,-$20.21,"$2,043",Devaughn Vele,475,6.7%,,,,,,,,,,,
Void,Amari Cooper,380,25.7%,290,290,-90,26%,4.80,$0,$0.00,"$2,862.94",,,"$2,043",Amari Cooper,380,4.8%,,,,,,,,,,,
Miss,Malik Heath,1400,8.9%,1021,1021,-379,9%,15.00,$40,-$40.00,"$2,822.94",$6,-$6.05,"$2,037",Malik Heath,1400,2.3%,,,,,,,,,,,
Pending,,,,,,,,,,,"$2,822.94",,,"$2,037",,,,,,,,,,,,,,
Pending,,,,,,,,,,,"$2,822.94",,,"$2,037",,,,,,,,,,,,,,
Pending,,,,,,,,,,,"$2,822.94",,,"$2,037",,,,,,,,,,,,,,
Pending,,,,,,,,,,,"$2,822.94",,,"$2,037",,,,,,,,,,,,,,
Pending,,,,,,,,,,,"$2,822.94",,,"$2,037",,,,,,,,,,,,,,
Pending,,,,,,,,,,,"$2,822.94",,,"$2,037",,,,,,,,,,,,,,
Pending,,,,,,,,,,,"$2,822.94",,,"$2,037",,,,,,,,,,,,,,
Pending,,,,,,,,,,,"$2,822.94",,,"$2,037",,,,,,,,,,,,,,
Pending,,,,,,,,,,,"$2,822.94",,,"$2,037",,,,,,,,,,,,,,
Pending,,,,,,,,,,,"$2,822.94",,,"$2,037",,,,,,,,,,,,,,
Pending,,,,,,,,,,,"$2,822.94",,,"$2,037",,,,,,,,,,,,,,
Pending,,,,,,,,,,,"$2,822.94",,,"$2,037",,,,,,,,,,,,,,
Pending,,,,,,,,,,,"$2,822.94",,,"$2,037",,,,,,,,,,,,,,
Pending,,,,,,,,,,,"$2,822.94",,,"$2,037",,,,,,,,,,,,,,
Pending,,,,,,,,,,,"$2,822.94",,,"$2,037",,,,,,,,,,,,,,
Pending,,,,,,,,,,,"$2,822.94",,,"$2,037",,,,,,,,,,,,,,
Pending,,,,,,,,,,,"$2,822.94",,,"$2,037",,,,,,,,,,,,,,
Pending,,,,,,,,,,,"$2,822.94",,,"$2,037",,,,,,,,,,,,,,
Pending,,,,,,,,,,,"$2,822.94",,,"$2,037",,,,,,,,,,,,,,
Pending,,,,,,,,,,,"$2,822.94",,,"$2,037",,,,,,,,,,,,,,
Pending,,,,,,,,,,,"$2,822.94",,,"$2,037",,,,,,,,,,,,,,
Pending,,,,,,,,,,,"$2,822.94",,,"$2,037",,,,,,,,,,,,,,
Pending,,,,,,,,,,,"$2,822.94",,,"$2,037",,,,,,,,,,,,,,
Pending,,,,,,,,,,,"$2,822.94",,,"$2,037",,,,,,,,,,,,,,
Pending,,,,,,,,,,,"$2,822.94",,,"$2,037",,,,,,,,,,,,,,
Pending,,,,,,,,,,,"$2,822.94",,,"$2,037",,,,,,,,,,,,,,
Pending,,,,,,,,,,,"$2,822.94",,,"$2,037",,,,,,,,,,,,,,
Pending,,,,,,,,,,,"$2,822.94",,,"$2,037",,,,,,,,,,,,,,
Pending,,,,,,,,,,,"$2,822.94",,,"$2,037",,,,,,,,,,,,,,
Pending,,,,,,,,,,,"$2,822.94",,,"$2,037",,,,,,,,,,,,,,
Pending,,,,,,,,,,,"$2,822.94",,,"$2,037",,,,,,,,,,,,,,
Pending,,,,,,,,,,,"$2,822.94",,,"$2,037",,,,,,,,,,,,,,
Pending,,,,,,,,,,,"$2,822.94",,,"$2,037",,,,,,,,,,,,,,
Pending,,,,,,,,,,,"$2,822.94",,,"$2,037",,,,,,,,,,,,,,
Pending,,,,,,,,,,,"$2,822.94",,,"$2,037",,,,,,,,,,,,,,
Pending,,,,,,,,,,,"$2,822.94",,,"$2,037",,,,,,,,,,,,,,
Pending,,,,,,,,,,,"$2,822.94",,,"$2,037",,,,,,,,,,,,,,
Pending,,,,,,,,,,,"$2,822.94",,,"$2,037",,,,,,,,,,,,,,
Pending,,,,,,,,,,,"$2,822.94",,,"$2,037",,,,,,,,,,,,,,
Pending,,,,,,,,,,,"$2,822.94",,,"$2,037",,,,,,,,,,,,,,
Pending,,,,,,,,,,,"$2,822.94",,,"$2,037",,,,,,,,,,,,,,
Pending,,,,,,,,,,,"$2,822.94",,,"$2,037",,,,,,,,,,,,,,
Pending,,,,,,,,,,,"$2,822.94",,,"$2,037",,,,,,,,,,,,,,
Pending,,,,,,,,,,,"$2,822.94",,,"$2,037",,,,,,,,,,,,,,
Pending,,,,,,,,,,,"$2,822.94",,,"$2,037",,,,,,,,,,,,,,
Pending,,,,,,,,,,,"$2,822.94",,,"$2,037",,,,,,,,,,,,,,
Pending,,,,,,,,,,,"$2,822.94",,,"$2,037",,,,,,,,,,,,,,
Pending,,,,,,,,,,,"$2,822.94",,,"$2,037",,,,,,,,,,,,,,
Pending,,,,,,,,,,,"$2,822.94",,,"$2,037",,,,,,,,,,,,,,
Pending,,,,,,,,,,,"$2,822.94",,,"$2,037",,,,,,,,,,,,,,
Pending,,,,,,,,,,,"$2,822.94",,,"$2,037",,,,,,,,,,,,,,
Pending,,,,,,,,,,,"$2,822.94",,,"$2,037",,,,,,,,,,,,,,
Pending,,,,,,,,,,,"$2,822.94",,,"$2,037",,,,,,,,,,,,,,
Pending,,,,,,,,,,,"$2,822.94",,,"$2,037",,,,,,,,,,,,,,
Pending,,,,,,,,,,,"$2,822.94",,,"$2,037",,,,,,,,,,,,,,
Pending,,,,,,,,,,,"$2,822.94",,,"$2,037",,,,,,,,,,,,,,
Pending,,,,,,,,,,,"$2,822.94",,,"$2,037",,,,,,,,,,,,,,
Pending,,,,,,,,,,,"$2,822.94",,,"$2,037",,,,,,,,,,,,,,
Pending,,,,,,,,,,,"$2,822.94",,,"$2,037",,,,,,,,,,,,,,
Pending,,,,,,,,,,,"$2,822.94",,,"$2,037",,,,,,,,,,,,,,
Pending,,,,,,,,,,,"$2,822.94",,,"$2,037",,,,,,,,,,,,,,
Pending,,,,,,,,,,,"$2,822.94",,,"$2,037",,,,,,,,,,,,,,
Pending,,,,,,,,,,,"$2,822.94",,,"$2,037",,,,,,,,,,,,,,
Pending,,,,,,,,,,,"$2,822.94",,,"$2,037",,,,,,,,,,,,,,
Pending,,,,,,,,,,,"$2,822.94",,,"$2,037",,,,,,,,,,,,,,
Pending,,,,,,,,,,,"$2,822.94",,,"$2,037",,,,,,,,,,,,,,
Pending,,,,,,,,,,,"$2,822.94",,,"$2,037",,,,,,,,,,,,,,
Pending,,,,,,,,,,,"$2,822.94",,,"$2,037",,,,,,,,,,,,,,
Pending,,,,,,,,,,,"$2,822.94",,,"$2,037",,,,,,,,,,,,,,
Pending,,,,,,,,,,,"$2,822.94",,,"$2,037",,,,,,,,,,,,,,
Pending,,,,,,,,,,,"$2,822.94",,,"$2,037",,,,,,,,,,,,,,
Pending,,,,,,,,,,,"$2,822.94",,,"$2,037",,,,,,,,,,,,,,
Pending,,,,,,,,,,,"$2,822.94",,,"$2,037",,,,,,,,,,,,,,
Pending,,,,,,,,,,,"$2,822.94",,,"$2,037",,,,,,,,,,,,,,
Pending,,,,,,,,,,,"$2,822.94",,,"$2,037",,,,,,,,,,,,,,
Pending,,,,,,,,,,,"$2,822.94",,,"$2,037",,,,,,,,,,,,,,
Pending,,,,,,,,,,,"$2,822.94",,,"$2,037",,,,,,,,,,,,,,
Pending,,,,,,,,,,,"$2,822.94",,,"$2,037",,,,,,,,,,,,,,
Pending,,,,,,,,,,,"$2,822.94",,,"$2,037",,,,,,,,,,,,,,
Pending,,,,,,,,,,,"$2,822.94",,,"$2,037",,,,,,,,,,,,,,
Pending,,,,,,,,,,,"$2,822.94",,,"$2,037",,,,,,,,,,,,,,
Pending,,,,,,,,,,,"$2,822.94",,,"$2,037",,,,,,,,,,,,,,
Pending,,,,,,,,,,,"$2,822.94",,,"$2,037",,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
